text,emotion
I feel really sad today,sad
I'm overwhelmed and can't focus,anxious
I'm so stressed from everything,stressed
I'm angry and irritated,angry
I feel okay today,neutral
not good,sad
I feel down,sad
I'm nervous and worried,anxious
this is too much pressure,stressed
I'm pissed off,angry
everything is fine,neutral
I'm feeling lonely and sad,sad
My chest feels tight,anxious
I can't handle the workload,stressed
stop bothering me,angry
I'm doing alright,neutral
I feel like crying,sad
my thoughts are racing,anxious
I feel burned out,stressed
leave me alone,angry
today feels normal,neutral
